Site,Date,Lat,Lon,Prec1,Prec7,Prec30,MaxP7,MaxP30
ANTHEM_DW,5/9/2020,40.516981,22.991656,0,0,28.24,0,8.55
ANTHEM_DW,19/09/2019,40.516981,22.991656,0.04,5.81,8.5,5.77,5.77
ANTHEM_DW,31/01/2021,40.516981,22.991656,0.5,16.45,101.52,8.46,21.4
ANTHEM_DW,1/3/2019,40.516981,22.991656,0,16.58,49.92,16.07,16.07
BOGDANO,29/05/2021,40.72882778,23.06355,3.72,5.88,16.22,3.72,6.67
BOGDANO,19/09/2018,40.72882778,23.06355,0.33,1.95,47.65,1.47,36.65
BOGDANO,19/09/2019,40.72882778,23.06355,0.14,5.32,11.15,5.18,5.18
BOGDANO,26/02/2018,40.72882778,23.06355,10,24.59,83.36,10,19.76
BOGDANO,27/02/2019,40.72882778,23.06355,0,15.31,59.59,14.96,14.96
BOGDANO,5/2/2020,40.72882778,23.06355,0,1.05,5,0.53,2.91
DERVENI_(Volvi),4/2/2021,40.672012,23.29088,0.01,6.95,85.47,3.47,20.64
ELASSON_MD,6/6/2019,39.87154345,22.14997069,6.37,23.53,66.15,6.37,11.04
ELASSON_MD,11/5/2021,39.87154345,22.14997069,0,1.39,37.95,0.79,16.15
ELASSON_MD,16/05/2018,39.87154345,22.14997069,1.21,37.57,114.08,14.15,24.03
ELASSON_MD,13/07/2021,39.87154345,22.14997069,0.01,2.7,32.45,1.95,5.38
ELASSON_MD,19/02/2019,39.87154345,22.14997069,0,5.27,89.13,3.11,19.42
ELASSON_MD,1/3/2021,39.87154345,22.14997069,1.21,1.22,46.93,1.21,13.28
ELASSON_MD,16/09/2019,39.87154345,22.14997069,0,5.4,9.56,2.27,2.27
ELKE,30/08/2019,38.81332521,22.49479135,0,0.05,10.29,0.03,5.16
ENIPEA,14/07/2021,39.563521,22.087928,0,0.48,11.86,0.35,2.73
ENIPEA,19/02/2020,39.563521,22.087928,0,19.86,32.45,12.01,12.01
ERKY,22/05/2020,38.46027098,22.93156164,13.32,13.33,25.22,13.32,13.32
ERKY,13/05/2021,38.46027098,22.93156164,0,0.44,29.22,0.43,17.62
ERKY,27/08/2021,38.46027098,22.93156164,0.14,0.46,4.17,0.2,1.07
EVROS_MD,8/9/2019,41.57141212,26.58694203,0.02,0.45,5.1,0.29,1.85
EVROS_MD,8/9/2020,41.57141212,26.58694203,0,0.15,6.97,0.15,3.71
EVZONI,24/01/2020,41.1078152,22.53639423,0,0.54,5.62,0.29,2.94
FLORI,16/09/2018,40.81964444,21.49683889,0.01,0.27,30.23,0.22,23.82
FLORI,4/9/2019,40.81964444,21.49683889,1.02,1.04,5.02,1.02,2.35
FLORI,2/9/2020,40.81964444,21.49683889,0.22,0.22,65.95,0.22,18.86
FLORI,29/08/2021,40.81964444,21.49683889,0.01,4.04,18.98,2.36,5.53
GALLIKOS_MD,18/05/2018,40.80758333,22.85614722,0,6.8,76.18,5.27,17.93
GIAFYROS,6/6/2019,35.32106389,25.10622778,0.06,0.81,3.54,0.44,0.99
GREVENIOT_VIOLOGIKOS,14/05/2018,40.098935,21.470819,4.1,25.91,63.57,5.86,8.98
GREVENIOT_VIOLOGIKOS,7/6/2019,40.098935,21.470819,0.46,20.85,69.11,5.82,21.57
GREVENIOT_VIOLOGIKOS,13/05/2021,40.098935,21.470819,0.18,0.79,40.56,0.39,16.97
GREVENIOT_VIOLOGIKOS,14/09/2018,40.098935,21.470819,0.01,0.58,21.63,0.39,18.17
GREVENIOT_VIOLOGIKOS,4/9/2019,40.098935,21.470819,1.21,1.73,22.11,1.21,15.86
GREVENIOT_VIOLOGIKOS,1/9/2020,40.098935,21.470819,0,3,41.21,3,17.79
GREVENIOT_VIOLOGIKOS,11/7/2021,40.098935,21.470819,0.84,1.07,19.05,0.84,3.44
GREVENIOT_VIOLOGIKOS,21/01/2020,40.098935,21.470819,0.02,0.81,28.92,0.49,21.39
INDUSTRY,8/5/2019,38.3056496,23.6236035,0.35,3.54,58.94,2.13,14.73
INDUSTRY,6/5/2021,38.3056496,23.6236035,0.29,0.29,31.09,0.29,20.22
INDUSTRY,30/08/2019,38.3056496,23.6236035,0,0.01,1.36,0,0.66
INDUSTRY,27/08/2021,38.3056496,23.6236035,0,0.01,1.15,0,0.63
KALAVRITA,13/05/2020,38.04441678,22.12533243,0,1,15.54,1,5.51
KALAVRITA,17/04/2021,38.04441678,22.12533243,2.68,3.48,85.93,2.68,14.84
KALAVRITA,27/08/2018,38.04441678,22.12533243,3.58,13.7,46.45,9.36,9.36
KALAVRITA,3/7/2021,38.04441678,22.12533243,0,0.54,60.77,0.47,29.83
KIFISOS_DW,5/6/2020,37.9847187,23.68301434,0,10.33,24.85,4.72,6.26
KIFISOS_MD,24/04/2018,38.0917672,23.7812483,0,0.05,15.09,0.04,8.25
KIFISOS_MD,21/04/2019,38.0917672,23.7812483,0.07,36.84,96.1,18.81,22.04
KIFISOS_MD,21/02/2019,38.0917672,23.7812483,0,10.95,98.2,4.36,20.22
KIFISOS_MD,4/2/2020,38.0917672,23.7812483,0.01,0.21,52.97,0.2,28.05
KIFISOS_MD,31/01/2021,38.0917672,23.7812483,0.02,14.46,51.51,10.57,14.93
KIFISOS_UP,24/04/2018,38.1069224,23.8100553,0,0.05,15.09,0.04,8.25
KIFISOS_UP,21/04/2019,38.1069224,23.8100553,0.07,36.84,96.1,18.81,22.04
KIFISOS_UP,6/5/2020,38.1069224,23.8100553,0,2.87,15.62,1.5,5.53
KIFISOS_UP,6/5/2021,38.1069224,23.8100553,0.16,0.16,25.77,0.16,16.17
KIFISOS_UP,24/08/2018,38.1069224,23.8100553,0,0.24,34.71,0.15,10.48
KIFISOS_UP,25/08/2020,38.1069224,23.8100553,0,0.01,13.1,0,8.17
KIFISOS_UP,15/09/2021,38.1069224,23.8100553,0,5.51,6.6,2.55,2.55
KIFISOS_UP,8/3/2018,38.1069224,23.8100553,0.21,1.66,74.9,1.16,15.37
KIFISOS_UP,21/02/2019,38.1069224,23.8100553,0,10.95,98.2,4.36,20.22
KIFISOS_UP,4/2/2020,38.1069224,23.8100553,0.01,0.21,52.97,0.2,28.05
KIFISOS_UP,31/01/2021,38.1069224,23.8100553,0.02,14.46,51.51,10.57,14.93
KLIMATIA,14/05/2019,39.709378,20.633256,35.61,46.96,120.46,35.61,35.61
KLIMATIA,1/6/2020,39.709378,20.633256,5.59,28.47,42.27,6.13,10.81
KLIMATIA,22/04/2021,39.709378,20.633256,0.79,26.5,48.54,14.32,14.32
KLIMATIA,8/9/2018,39.709378,20.633256,0.58,0.87,30.97,0.58,7.16
KLIMATIA,5/9/2019,39.709378,20.633256,0.08,5.3,6.44,4.76,4.76
KLIMATIA,8/7/2020,39.709378,20.633256,1.55,13.25,42.16,6.18,6.18
KLIMATIA,9/7/2021,39.709378,20.633256,0,0.19,25.07,0.18,7.35
KLIMATIA,22/02/2019,39.709378,20.633256,0,0.13,162.86,0.12,37.45
KLIMATIA,4/2/2020,39.709378,20.633256,0.03,7.21,28.13,6.83,9.42
KOILADA,15/05/2018,40.549144,21.714947,0.5,36.48,87.11,11.76,11.76
KOILADA,29/08/2021,40.549144,21.714947,0.01,1.15,11.63,0.82,4.18
KOILADA,24/02/2018,40.549144,21.714947,1.93,21.95,104.84,5.64,24.68
KOILADA,24/02/2019,40.549144,21.714947,5.74,6.42,77.89,5.74,29.52
KOILADA,21/01/2020,40.549144,21.714947,0.02,0.5,23.92,0.28,14.87
KOILADA,25/02/2021,40.549144,21.714947,0,0.4,66.89,0.27,17.04
KOSTARAZI,3/5/2018,40.43514962,21.32095144,0.47,3.79,14.06,1.79,3.21
KOSTARAZI,11/5/2019,40.43514962,21.32095144,0.04,9.1,63.51,5.39,16.32
KOSTARAZI,13/05/2021,40.43514962,21.32095144,0.02,1.46,45.48,1.43,15.55
KOSTARAZI,15/09/2018,40.43514962,21.32095144,0,0.49,21.18,0.28,14.95
KOSTARAZI,17/09/2019,40.43514962,21.32095144,0,2.04,4.97,1.05,1.26
KOSTARAZI,1/9/2020,40.43514962,21.32095144,0,1.74,55.19,1.74,27.79
KOSTARAZI,29/08/2021,40.43514962,21.32095144,0,0.47,4.05,0.31,1.61
KOSTARAZI,24/02/2018,40.43514962,21.32095144,5.96,38.15,147.02,11.2,25.31
KOSTARAZI,25/02/2021,40.43514962,21.32095144,0,0.14,89.11,0.1,25.43
KOUSBASAN,6/5/2018,39.62813105,22.49352815,5.26,10.97,20.56,5.26,5.28
KOUSBASAN,9/3/2018,39.62813105,22.49352815,0.13,11.12,224.3,9.35,56.95
KRYA_DW,12/9/2018,38.08636136,23.7662182,0.1,4.51,17.7,4.16,8.32
KRYA_DW,17/09/2019,38.08636136,23.7662182,0,0.24,0.31,0.24,0.24
KRYA_DW,8/3/2018,38.08636136,23.7662182,0.21,1.66,74.9,1.16,15.37
KRYA_DW,21/02/2019,38.08636136,23.7662182,0,10.95,98.2,4.36,20.22
KRYA_DW,4/2/2020,38.08636136,23.7662182,0.01,0.21,52.97,0.2,28.05
LASPO_DW,25/05/2018,40.94023,24.91563,0.32,4.37,31.8,1.91,7.41
LASPO_DW,8/5/2019,40.94023,24.91563,8.22,36.74,98.26,20.02,24.91
LASPO_DW,16/05/2021,40.94023,24.91563,0.65,0.68,18.61,0.65,7.26
LASPO_DW,13/09/2018,40.94023,24.91563,1.24,12.64,16.39,6.34,6.34
LASPO_DW,10/9/2019,40.94023,24.91563,0,0.12,5.92,0.12,2.87
LASPO_DW,10/9/2020,40.94023,24.91563,0,0.24,8.8,0.23,6.18
LASPO_DW,22/02/2019,40.94023,24.91563,0.47,1.16,193.19,0.68,66.84
LASPO_DW,17/01/2020,40.94023,24.91563,0,1.47,34.47,1.27,17.26
LASPO_UP,18/05/2021,40.972236,24.895455,0.01,1.19,15.85,0.65,7.26
LASPO_UP,13/09/2018,40.972236,24.895455,1.24,12.64,16.39,6.34,6.34
LASPO_UP,10/9/2020,40.972236,24.895455,0,0.24,8.8,0.23,6.18
LASPO_UP,23/09/2021,40.972236,24.895455,4.02,5.01,14.6,4.02,5.72
LASPO_UP,22/02/2018,40.972236,24.895455,6.14,6.96,95.96,6.14,20.66
LASPO_UP,22/02/2019,40.972236,24.895455,0.47,1.16,193.19,0.68,66.84
LASPO_UP,17/01/2020,40.972236,24.895455,0,1.47,34.47,1.27,17.26
LASPO_UP,12/2/2021,40.972236,24.895455,12.69,35.91,140.07,22.67,38.97
LITHEO_DW,21/05/2020,39.53782804,21.89974918,0.12,0.12,46.97,0.12,14.3
LITHEO_DW,9/5/2021,39.53782804,21.89974918,0.05,2.16,51.68,2.03,23.49
LITHEO_DW,21/08/2018,39.53782804,21.89974918,0.44,3.56,15.46,2.07,2.29
LITHEO_DW,23/08/2019,39.53782804,21.89974918,0,3.4,5.98,1.8,2.23
LITHEO_DW,28/08/2020,39.53782804,21.89974918,0,1.44,41.88,1.43,26.76
LITHEO_DW,13/07/2021,39.53782804,21.89974918,0,0.1,8.68,0.05,4.06
LITHEO_DW,5/3/2018,39.53782804,21.89974918,0.22,47.16,303.3,33.84,51.25
LITHEO_DW,3/3/2021,39.53782804,21.89974918,2.68,5.77,66.16,2.68,24.16
LOUDIAS_DW,25/05/2018,40.57743889,22.63039722,0.63,10.64,36.55,5.4,7.21
LOUDIAS_DW,13/07/2020,40.57743889,22.63039722,0.02,2.93,12.16,2.23,4.96
LOUDIAS_DW,2/3/2018,40.57743889,22.63039722,0.19,55.6,124.14,19.28,26.93
LOUDIAS_DW,23/01/2020,40.57743889,22.63039722,0,0.42,4.98,0.21,3.01
LOUDIAS_DW,5/2/2021,40.57743889,22.63039722,0.04,3.47,58.37,1.32,13.24
MAKRY,25/02/2019,39.255325,22.146075,7.17,32,124.84,23.16,42.3
MAKRY,21/02/2021,39.255325,22.146075,0,27.48,105.16,26.58,27.95
MAN,8/7/2020,38.125554,21.419929,0.18,11.4,18.02,8.97,8.97
MAN,7/7/2021,38.125554,21.419929,0,0.01,12.75,0,5.75
MAN,9/2/2020,38.125554,21.419929,0,12,36.31,11.68,12.03
MAN,26/01/2021,38.125554,21.419929,7.49,38.1,194.43,15.11,33.78
MAVRONER,24/05/2021,40.215563,22.562989,0,0.04,29.01,0.03,17.05
MAVRONER,13/09/2018,40.215563,22.562989,0.19,3.06,28.27,2.41,9.94
MAVRONER,6/9/2019,40.215563,22.562989,0.04,0.16,15.91,0.05,11.78
MAVRONER,14/07/2021,40.215563,22.562989,0.1,2.13,64.79,1.2,10.72
MAVRONER,21/02/2019,40.215563,22.562989,0,0.71,134.69,0.67,33.68
MAVRONER,5/2/2020,40.215563,22.562989,0,2.47,11.73,2.09,3
MELISSA,7/5/2019,39.559138,22.647291,0.56,1.3,57.46,0.56,14.85
MELISSA,12/7/2021,39.559138,22.647291,0.08,0.26,9.29,0.1,2.64
MESOHOR,20/05/2018,41.09726759,25.36603061,1.38,2.29,30.87,1.38,10.01
MESOHOR,16/05/2021,41.09726759,25.36603061,0.57,0.59,19.23,0.57,7.68
MESOHOR,23/09/2019,41.09726759,25.36603061,0,5,5.33,4.91,4.91
MESOHOR,6/9/2020,41.09726759,25.36603061,0,0.09,9.93,0.08,8.53
MESOHOR,21/02/2019,41.09726759,25.36603061,0,1.93,146.46,1.91,40.31
MESOHOR,16/01/2020,41.09726759,25.36603061,0,1.35,30.44,1.23,23.63
P223,11/5/2021,39.591937,22.220357,0,1.45,31.79,1.3,15.3
P266,20/05/2020,39.568569,22.078457,0,0,29.21,0,7.98
P266,10/5/2021,39.568569,22.078457,0.14,1.58,34.97,1.38,16.39
P266,26/08/2020,39.568569,22.078457,1.5,2.12,35.6,1.5,13.73
P300,21/05/2020,39.526683,21.940047,0.12,0.12,46.97,0.12,14.3
P300,11/9/2018,39.526683,21.940047,0.01,0.56,22.27,0.48,16.63
P300,10/7/2020,39.526683,21.940047,0.05,11,17.34,3.87,3.87
P300,12/7/2021,39.526683,21.940047,0.04,0.12,10.3,0.05,4.06
PARK_KYKL,1/9/2019,38.89842487,21.7852023,0,0.03,8.74,0.02,6.66
PARK_KYKL,27/08/2020,38.89842487,21.7852023,0.06,3.28,51.01,3.13,13.57
PIN_IND,5/6/2019,39.713457,22.43364,0.08,11.73,29.82,8.27,8.27
PIN_IND,20/05/2020,39.713457,22.43364,0,0,25.95,0,6.99
PIN_IND,12/5/2021,39.713457,22.43364,0,1.07,33.11,0.93,15.32
PIN_IND,21/02/2020,39.713457,22.43364,10.65,24.98,43.01,10.65,10.65
PINIOS,10/4/2019,37.81041836,21.23455319,4.63,41.01,91.55,15.43,15.43
PLATY,12/5/2019,40.67399322,22.54061186,0,2.28,41.93,1.25,12.09
PLATY,13/07/2020,40.67399322,22.54061186,0.05,3.52,18.13,2.63,4.79
PLATY,25/02/2018,40.67399322,22.54061186,6.2,22.3,88.41,6.2,25.89
PLATY,25/02/2019,40.67399322,22.54061186,0.05,6.79,58.11,6.65,12.46
PLATY,23/01/2020,40.67399322,22.54061186,0,0.61,6.02,0.36,3.45
PLATY,5/2/2021,40.67399322,22.54061186,0,5.46,67.86,2.73,15.47
PORTAIK,21/05/2020,39.526511,21.7122,0.19,0.24,56.17,0.19,18.26
PORTAIK,9/5/2021,39.526511,21.7122,0.08,2.92,59.2,2.67,24.99
PORTAIK,18/02/2020,39.526511,21.7122,0,27.58,38.76,22.42,22.42
RAIZANH,10/5/2019,37.90862724,22.82129841,0,2.48,38.03,2.04,9.22
RAIZANH,18/02/2019,37.90862724,22.82129841,0.13,24.48,111.48,9.9,25.46
RIZARI,23/02/2019,40.782143,22.088063,0.42,0.42,99.14,0.42,46.44
T_LAM,7/2/2020,38.87114408,22.47918727,4.95,14.02,21.31,9.04,9.04
T1,14/05/2021,40.7517927,22.1694745,0.31,2.25,52.86,1.19,15.3
TITAR_MD,6/6/2019,39.715889,22.188656,1.04,8.92,25.15,3.64,6.61
VARDAROV,17/05/2019,40.696548,22.676432,1.84,10.57,23.29,4.97,4.97
VARDAROV,25/05/2020,40.696548,22.676432,0,34.68,40,34.23,34.23
VARDAROV,25/05/2021,40.696548,22.676432,0,0.02,4.43,0.01,2.79
VARDAROV,18/09/2019,40.696548,22.676432,0,0.39,1.16,0.36,0.36
VARDAROV,3/9/2020,40.696548,22.676432,0,0,24.77,0,9.06
VARDAROV,25/01/2020,40.696548,22.676432,0.04,0.42,4.54,0.22,2.97
VARDAROV,5/2/2021,40.696548,22.676432,0.01,3.49,56.56,1.34,12.81
VOZVOZ,20/05/2018,41.01488751,25.31924269,1.08,1.82,25.02,1.08,8.68
VOZVOZ,23/05/2019,41.01488751,25.31924269,0,1.72,32.61,1.35,9.17
VOZVOZ,16/05/2021,41.01488751,25.31924269,0.31,0.32,16.82,0.31,7.78
VOZVOZ,21/09/2018,41.01488751,25.31924269,0,0.09,7.74,0.05,4.02
VOZVOZ,23/09/2019,41.01488751,25.31924269,0,3.59,3.87,3.55,3.55
VOZVOZ,6/9/2020,41.01488751,25.31924269,0,0.07,6.3,0.07,5.24
VOZVOZ,4/9/2021,41.01488751,25.31924269,0.01,4.92,9.44,4.66,4.66
VOZVOZ,16/01/2020,41.01488751,25.31924269,0,1.59,29.04,1.32,21.78
ZEVGO,15/09/2019,41.09019,23.29307,0,1.07,8.35,0.55,2.83
